video_id, title,url, is_japanese_caption, has_checked_caption
2qnd8_ejhYA,James Recommends - The Swapper - Dark Atmospheric Puzzle Platformer,https://www.youtube.com/watch?v=2qnd8_ejhYA,false,false,
wtIX3RaP86Q,James Recommends - Dragon's Dogma - Epic Open-World Action RPG,https://www.youtube.com/watch?v=wtIX3RaP86Q,false,false,
jQtxD7alDL4,James Recommends - Two Brothers - Gameboy Style Action Adventure,https://www.youtube.com/watch?v=jQtxD7alDL4,false,false,
YoJfoYtleng,James Recommends - Brothers: A Tale of Two Sons - Story Driven Adventure Game,https://www.youtube.com/watch?v=YoJfoYtleng,false,false,
6NN3dPEPSO8,James Recommends - Pandora - Civilization-like Sci-Fi 4X Strategy Game,https://www.youtube.com/watch?v=6NN3dPEPSO8,false,false,
qbytlYQn1oY,James Recommends - Risk of Rain - Roguelike Sci-Fi Action Platformer,https://www.youtube.com/watch?v=qbytlYQn1oY,false,false,
_mnJP7LBeeE,James Recommends - Long Live the Queen - Deadly Princess Simulator,https://www.youtube.com/watch?v=_mnJP7LBeeE,false,false,
_AqiPoHU4Fk,James Recommends - Device 6 - Mobile Text Adventure Come to Life,https://www.youtube.com/watch?v=_AqiPoHU4Fk,false,false,
sn9vK3uPYig,James Recommends - Last Dream - Tribute to Classic JRPGs,https://www.youtube.com/watch?v=sn9vK3uPYig,false,false,
I8w_BUvDVX8,James Recommends - Pretentious Game - Minimalist Puzzle-Platformer,https://www.youtube.com/watch?v=I8w_BUvDVX8,false,false,
81NAuduXWZ8,James Recommends - One Finger Death Punch - Fast-Paced Brawler Fighting Game,https://www.youtube.com/watch?v=81NAuduXWZ8,false,false,
OzPWFZw7Yec,James Recommends - Emperor of the Fading Suns - 4X Space Opera Strategy Game,https://www.youtube.com/watch?v=OzPWFZw7Yec,false,false,
E8A-pcemTc0,James Recommends - Enemy Mind - Side-Scrolling Space Shooter,https://www.youtube.com/watch?v=E8A-pcemTc0,false,false,
fvyTEk0rVYo,James Recommends - Capsule - Retro Sci-Fi Survival Navigator,https://www.youtube.com/watch?v=fvyTEk0rVYo,false,false,
foaILc9GxxU,James Recommends - Ether One - First-Person Puzzle Adventure Game,https://www.youtube.com/watch?v=foaILc9GxxU,false,false,
mKPRqnd9gyg,James Recommends - King's Field: The Ancient City - First-Person Dark Souls Predecessor,https://www.youtube.com/watch?v=mKPRqnd9gyg,false,false,
M7okQ6xfETI,James Recommends - Divekick - Minimalist Competitive Fighting Game,https://www.youtube.com/watch?v=M7okQ6xfETI,false,false,
DM6FaItcZTw,James Recommends - Kentucky Route Zero - Magical Realism and a Ghost Story Game,https://www.youtube.com/watch?v=DM6FaItcZTw,false,false,
ju1IOCgn2kY,James Recommends - Hand of Fate - Deck-Building Roguelike Action RPG,https://www.youtube.com/watch?v=ju1IOCgn2kY,false,false,
4eaS5rWPwLk,James Recommends - Divinity: Original Sin - Isometric Turn-Based CRPG with Co-Op,https://www.youtube.com/watch?v=4eaS5rWPwLk,false,false,
AiyS5ogYXZw,James Recommends - Mod Week! - Total War: Rome II: Divide et Impera - RTS for Ancient Warfare,https://www.youtube.com/watch?v=AiyS5ogYXZw,false,false,
g8xDcFf7KYU,James Recommends - Mod Week! - Shadowrun Returns: Nightmare Harvest - Cyberpunk Adventure,https://www.youtube.com/watch?v=g8xDcFf7KYU,false,false,
